created_at,user_id,topic_id,stemmed_message,sentiment,sentiment_score
2023-10-24,1,0,cerita rasa tugas dimensi pesimis tugas sanggup menang sadar tugas mudah matkul per tokopedia,negative,0.9119786620140076
2023-10-24,2,1,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar alam asistensi proses asistensi validasi jalan asisten praktikum bantu sabar,negative,0.5412861108779907
2023-10-24,2,0,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar proses asistensi validasi jalan asisten praktikum bantu sabar,negative,0.6416587829589844
2023-10-24,3,0,ajar materi seru awal susah basic web damping bab kes tarik struktur,neutral,0.49853208661079407
2023-10-24,4,1,pusing ajar blender ya allah bismillah lancar selesai suka ajar mgv benarbenar bawa ubah suka mencaricari asistem praktek terkadang sulit hubung ajar benarbenar otodidak aplikasi asing toolsnya alam tambah ilmu jurus tau,negative,0.5899965167045593
2023-10-24,5,0,alam projekprojek mata kuliah inovasi media grafis visual projek2 nya penuh tekateki tantang suka nya latih gerak cepat memdesain suka milik basic desain alami sulit teman milik basic desain,positive,0.6938339471817017
2023-10-24,6,0,suka materi ilmu desain 3d kuranhg suka butuh device mumpuni asdos bantu mahasiswa paham judul,neutral,0.5841770172119141
2023-10-24,5,1,alam projek 3 dimensi suka suka banyak suka buat aplikasi blender ya suruh projek 3 dimensi alam pasti lupa kepanikan2 nya,negative,0.9362266659736633
2023-10-24,7,0,ajar materi bingung darimana basic desain 3d ajar step by step hasil sesuai mampu bisa hehe,negative,0.7136361002922058
2023-10-24,7,1,alhamdulillah aju judul langsung ac ya tuhan tau ku segimana syukur apa hasil proses maksimal,positive,0.8669720888137817
2023-10-24,8,0,salah mata kuliah favorit dalam ajar seru monotontidak membosankandi ajar lecturer tuntut mahasiswa ikut beliaunamun bebas mahasiswa kreatif milik mahasiswa disiplin atur membangn semangat mahasiswa sedia bintng bab i love mgv,positive,0.9029639363288879
2023-10-24,10,0,expect ngejain 3d but seru banget ajar walopun kayak rollercoaster semangat ya mentemen makas bantu hehehe,positive,0.9895856976509094
2023-10-24,9,0,alam materi senang tantang asah ilmu ajar smk ulik software nya ajar sekolah tengah juru alam asistensi validasi rasa tugas proyek tantang hadap dosen asisten dosen asisten praktek tata nya sopan hasil proyek tele tele gerogi demonstrasi,negative,0.49550971388816833
2023-10-24,11,0,kali cerita alam ajar mgv materi mgv unggul asal smk menang start banding teman asistensi asprak demonstrasi produk langsung dosen awwalnya kaget harus lapor biasa aplikasi word ajar teman selesai tugas mgv milik kendala asistensi teman keluh asisten sensitif kes susah ajak kompromi tugas selesai haya alam cerita,negative,0.9611162543296814
2023-10-24,12,0,alam materi senang seru tantang asah ilmu ajar smk dalam 3d blender,positive,0.7586427330970764
2023-10-24,13,0,materi 3d susah milik alam dasar desain 3d aplikasi rumit susah ajar materi kembang skil desain pasti alam guna depan,negative,0.9840457439422607
2023-10-25,14,0,atas ajar modeling software perintah hasil buat sempurna lms jiga bantu tenggat proyek,neutral,0.952275812625885
2023-10-25,16,1,ajar 3d blender butuh damping tutor macam guide ngangong,neutral,0.912326455116272
2023-10-25,17,0,seru sih tantang buru bikin sulit ya tuntas tugas ajar tutor batas seru relasi katingaspraknya ajar adikadiknya ajar,negative,0.9046457409858704
2023-10-25,11,1,nikmat model ajar alam seru tantang luas tahu terkadang hadap kendala lapor aspek seru tantang ajar mikat batas tulis lapor tantang sendiri proses cerna paham materi ajar muas transfer paham lapor terampil organisasi muka gagas sistematis upaya atas kendala ajar tulis lapor cari pandu latih harga sempat model ajar bantu atas keterbatan jalan alam ajar seru muas,positive,0.4250509440898895
2023-10-25,18,1,bismillahirrahmanirrahim moga mudah asistensi mudah urus amin,positive,0.9357399940490723
2023-10-25,8,1,moga mgv asah soft skil kerja seemangat suka tidak tahu guna blender,positive,0.49519655108451843
2023-10-25,18,0,bismillahirrahmanirrahim moga asisten praktikum mudah urus mahasiswa,positive,0.9194967150688171
2023-10-25,19,1,ambil judul salah temanteman ambil judul lumayan mudah bentuk bulat kotak bunga bentuk kompleks sulit buat menang hehe,negative,0.9843136072158813
2023-10-25,10,1,senang ajar 3d explore tutorial agam sumber wishlist cita pengin 3d modeling pengin bikin anime hehehe struggle nya bingung lupa tools pakai sok far so good makas,positive,0.9677716493606567
2023-10-25,20,0,ajar produk 3d blender ajar tools kembang produk tau tools grab belah produk boolean lainlain,neutral,0.7909024357795715
2023-10-25,21,0,suka ajar seru ajar sayang laptop penuh hehe seru moga beli laptop mudah tugas yeay,positive,0.9889588356018066
2023-10-25,22,0,senang project 3d laptop pakai raam 2 intel celeron gen 4 tantang macet2 dikit ngaruh apa daya rampok orang tua jelang lansia rumah sakit2 an eh rampok beli laptop spek dewa - igal tweet social activity nikmat proses protes protes takdir moga kuat bismillah bintang,negative,0.961613655090332
2023-10-25,23,0,mgv ribet asik canda asik tugas mgv benerbener tantang kerja ya allah ya allah suruh masuk tep,negative,0.9847058653831482
2023-10-25,22,1,senang ajar 3d suka rampok orangtua 3d mampu orang tua teman moga solusi rampok orangtua,negative,0.914474606513977
2023-10-25,24,1,jujur sunggup tugas 3d tugas menang malam hilang semangat jalan hidup milik basic bidang 3d terimakasih alam titik sabar,positive,0.8041657209396362
2023-10-25,25,1,jujur sanggup tugas 3dkarena tugaskarena menang pikir tugas 3d,negative,0.5746101140975952
2023-10-25,26,0,tugas imgv kali project 3 dimensi project kali ajar aplikasi blender penggunaanya menghapal toolstoolsnya shortcut numpad penggunaanya ajar seru bikin pusing banget ajar pinterpinter cari youtube google tugas kontrak bikin pusing panik lapor bingung etik ajar youtube kadang aplikasi,negative,0.9368449449539185
2023-10-25,27,1,ajar blender tugas 3d awam fiturfitur aplikasi blender lumayan sulit hafal fiturfitur aplikasi blander tutor temanteman kakak tingkat mudah ajar blander harap tugas jalan lancar asprak asdos dosen terimakasih,neutral,0.4133068025112152
2023-10-25,29,1,dal ajar materi kesan takut senang kali ajar materi blender senang ajar,negative,0.9707175493240356
